mdct,date,yr,mo,da,hr,prcp,temp
01-01-16 0:00,01-01-16,2016,1,1,0,,26.9
01-01-16 1:00,01-01-16,2016,1,1,1,,26.8
01-01-16 2:00,01-01-16,2016,1,1,2,,26.7
01-01-16 3:00,01-01-16,2016,1,1,3,,26.7
01-01-16 4:00,01-01-16,2016,1,1,4,,26.4
01-01-16 5:00,01-01-16,2016,1,1,5,,25.8
01-01-16 6:00,01-01-16,2016,1,1,6,,25.5
01-01-16 7:00,01-01-16,2016,1,1,7,,25.3
01-01-16 8:00,01-01-16,2016,1,1,8,,24.9
01-01-16 9:00,01-01-16,2016,1,1,9,,25.6
01-01-16 10:00,01-01-16,2016,1,1,10,,28
01-01-16 11:00,01-01-16,2016,1,1,11,,30.1
01-01-16 12:00,01-01-16,2016,1,1,12,,32.2
01-01-16 13:00,01-01-16,2016,1,1,13,,34.2
01-01-16 14:00,01-01-16,2016,1,1,14,,35.6
01-01-16 15:00,01-01-16,2016,1,1,15,,34.9
01-01-16 16:00,01-01-16,2016,1,1,16,,33.2
01-01-16 17:00,01-01-16,2016,1,1,17,,32.9
01-01-16 18:00,01-01-16,2016,1,1,18,,31.6
01-01-16 19:00,01-01-16,2016,1,1,19,,30.5
01-01-16 20:00,01-01-16,2016,1,1,20,,29.4
01-01-16 21:00,01-01-16,2016,1,1,21,,28.4
01-01-16 22:00,01-01-16,2016,1,1,22,,27.8
01-01-16 23:00,01-01-16,2016,1,1,23,,27.4
02-01-16 0:00,02-01-16,2016,1,2,0,,27.4
02-01-16 1:00,02-01-16,2016,1,2,1,,27.4
02-01-16 2:00,02-01-16,2016,1,2,2,,26.9
02-01-16 3:00,02-01-16,2016,1,2,3,,26.4
02-01-16 4:00,02-01-16,2016,1,2,4,,25.5
02-01-16 5:00,02-01-16,2016,1,2,5,,25.8
02-01-16 6:00,02-01-16,2016,1,2,6,,25.6
02-01-16 7:00,02-01-16,2016,1,2,7,,25
02-01-16 8:00,02-01-16,2016,1,2,8,,24.6
02-01-16 9:00,02-01-16,2016,1,2,9,,24.9
02-01-16 10:00,02-01-16,2016,1,2,10,,26.1
02-01-16 11:00,02-01-16,2016,1,2,11,,28
02-01-16 12:00,02-01-16,2016,1,2,12,,30.2
02-01-16 13:00,02-01-16,2016,1,2,13,,32.3
02-01-16 14:00,02-01-16,2016,1,2,14,,32.6
02-01-16 15:00,02-01-16,2016,1,2,15,,32.8
02-01-16 16:00,02-01-16,2016,1,2,16,,31.9
02-01-16 17:00,02-01-16,2016,1,2,17,,32
02-01-16 18:00,02-01-16,2016,1,2,18,,31.2
02-01-16 19:00,02-01-16,2016,1,2,19,,29.7
02-01-16 20:00,02-01-16,2016,1,2,20,,28.3
02-01-16 21:00,02-01-16,2016,1,2,21,,27.1
02-01-16 22:00,02-01-16,2016,1,2,22,0.8,26.1
02-01-16 23:00,02-01-16,2016,1,2,23,0.4,25.5
03-01-16 0:00,03-01-16,2016,1,3,0,,25.3
03-01-16 1:00,03-01-16,2016,1,3,1,,25.3
03-01-16 2:00,03-01-16,2016,1,3,2,0.2,24.5
03-01-16 3:00,03-01-16,2016,1,3,3,,24.4
03-01-16 4:00,03-01-16,2016,1,3,4,0.2,24.7
03-01-16 5:00,03-01-16,2016,1,3,5,0.2,24.2
03-01-16 6:00,03-01-16,2016,1,3,6,,24.3
03-01-16 7:00,03-01-16,2016,1,3,7,0.2,24.2
03-01-16 8:00,03-01-16,2016,1,3,8,,24.3
03-01-16 9:00,03-01-16,2016,1,3,9,,24.6
03-01-16 10:00,03-01-16,2016,1,3,10,0.2,25.3
03-01-16 11:00,03-01-16,2016,1,3,11,,25.5
03-01-16 12:00,03-01-16,2016,1,3,12,,26.1
03-01-16 13:00,03-01-16,2016,1,3,13,,26.4
03-01-16 14:00,03-01-16,2016,1,3,14,,27
03-01-16 15:00,03-01-16,2016,1,3,15,,27.8
03-01-16 16:00,03-01-16,2016,1,3,16,,28.7
03-01-16 17:00,03-01-16,2016,1,3,17,2.6,26.5
03-01-16 18:00,03-01-16,2016,1,3,18,9.4,25.4
03-01-16 19:00,03-01-16,2016,1,3,19,9,25.4
03-01-16 20:00,03-01-16,2016,1,3,20,1.8,24.9
03-01-16 21:00,03-01-16,2016,1,3,21,0.4,24.3
03-01-16 22:00,03-01-16,2016,1,3,22,1,24
03-01-16 23:00,03-01-16,2016,1,3,23,4.6,24.2
04-01-16 0:00,04-01-16,2016,1,4,0,0.2,24.2
04-01-16 1:00,04-01-16,2016,1,4,1,2.4,24.1
04-01-16 2:00,04-01-16,2016,1,4,2,1.8,24.1
04-01-16 3:00,04-01-16,2016,1,4,3,0.6,24.1
04-01-16 4:00,04-01-16,2016,1,4,4,1.2,24.1
04-01-16 5:00,04-01-16,2016,1,4,5,0.4,24.1
04-01-16 6:00,04-01-16,2016,1,4,6,,23.7
04-01-16 7:00,04-01-16,2016,1,4,7,,23.7
04-01-16 8:00,04-01-16,2016,1,4,8,0.2,23.7
04-01-16 9:00,04-01-16,2016,1,4,9,1.2,23.8
04-01-16 10:00,04-01-16,2016,1,4,10,0.6,24.5
04-01-16 11:00,04-01-16,2016,1,4,11,,25.2
04-01-16 12:00,04-01-16,2016,1,4,12,,25.9
04-01-16 13:00,04-01-16,2016,1,4,13,,27.1
04-01-16 14:00,04-01-16,2016,1,4,14,,27.3
04-01-16 15:00,04-01-16,2016,1,4,15,,28.1
04-01-16 16:00,04-01-16,2016,1,4,16,,28.7
04-01-16 17:00,04-01-16,2016,1,4,17,,28.7
04-01-16 18:00,04-01-16,2016,1,4,18,,27.9
04-01-16 19:00,04-01-16,2016,1,4,19,,27.2
04-01-16 20:00,04-01-16,2016,1,4,20,,26.8
04-01-16 21:00,04-01-16,2016,1,4,21,,26.6
04-01-16 22:00,04-01-16,2016,1,4,22,,25.9
04-01-16 23:00,04-01-16,2016,1,4,23,,25.8
05-01-16 0:00,05-01-16,2016,1,5,0,0.2,25.2
05-01-16 1:00,05-01-16,2016,1,5,1,,24.8
05-01-16 2:00,05-01-16,2016,1,5,2,2.2,24
05-01-16 3:00,05-01-16,2016,1,5,3,,23.2
05-01-16 4:00,05-01-16,2016,1,5,4,,22.9
05-01-16 5:00,05-01-16,2016,1,5,5,,22.9
05-01-16 6:00,05-01-16,2016,1,5,6,,22.8
05-01-16 7:00,05-01-16,2016,1,5,7,,22.4
05-01-16 8:00,05-01-16,2016,1,5,8,,22.5
05-01-16 9:00,05-01-16,2016,1,5,9,,23
05-01-16 10:00,05-01-16,2016,1,5,10,,25.3
05-01-16 11:00,05-01-16,2016,1,5,11,,26.7
05-01-16 12:00,05-01-16,2016,1,5,12,,27.5
05-01-16 13:00,05-01-16,2016,1,5,13,,28
05-01-16 14:00,05-01-16,2016,1,5,14,,29.5
05-01-16 15:00,05-01-16,2016,1,5,15,,29.8
05-01-16 16:00,05-01-16,2016,1,5,16,,29.7
05-01-16 17:00,05-01-16,2016,1,5,17,,28.6
05-01-16 18:00,05-01-16,2016,1,5,18,,28.1
05-01-16 19:00,05-01-16,2016,1,5,19,,26.8
05-01-16 20:00,05-01-16,2016,1,5,20,,25.6
05-01-16 21:00,05-01-16,2016,1,5,21,1.6,24.2
05-01-16 22:00,05-01-16,2016,1,5,22,0.4,23.4
05-01-16 23:00,05-01-16,2016,1,5,23,0.2,23.2
06-01-16 0:00,06-01-16,2016,1,6,0,,22.9
06-01-16 1:00,06-01-16,2016,1,6,1,,23.1
06-01-16 2:00,06-01-16,2016,1,6,2,,23.2
06-01-16 3:00,06-01-16,2016,1,6,3,,22.5
06-01-16 4:00,06-01-16,2016,1,6,4,,22.1
06-01-16 5:00,06-01-16,2016,1,6,5,0.2,22.2
06-01-16 6:00,06-01-16,2016,1,6,6,,22
06-01-16 7:00,06-01-16,2016,1,6,7,,22.1
06-01-16 8:00,06-01-16,2016,1,6,8,,21.9
06-01-16 9:00,06-01-16,2016,1,6,9,,22.1
06-01-16 10:00,06-01-16,2016,1,6,10,,24.5
06-01-16 11:00,06-01-16,2016,1,6,11,0.2,26.4
06-01-16 12:00,06-01-16,2016,1,6,12,,28
06-01-16 13:00,06-01-16,2016,1,6,13,,28.3
06-01-16 14:00,06-01-16,2016,1,6,14,,28.4
06-01-16 15:00,06-01-16,2016,1,6,15,,29.4
06-01-16 16:00,06-01-16,2016,1,6,16,,29.9
06-01-16 17:00,06-01-16,2016,1,6,17,,29.9
06-01-16 18:00,06-01-16,2016,1,6,18,,29.2
06-01-16 19:00,06-01-16,2016,1,6,19,,27.9
06-01-16 20:00,06-01-16,2016,1,6,20,,27
06-01-16 21:00,06-01-16,2016,1,6,21,,26.5
06-01-16 22:00,06-01-16,2016,1,6,22,,25.9
06-01-16 23:00,06-01-16,2016,1,6,23,,25.3
07-01-16 0:00,07-01-16,2016,1,7,0,,24.9
07-01-16 1:00,07-01-16,2016,1,7,1,,24.7
07-01-16 2:00,07-01-16,2016,1,7,2,,24.6
07-01-16 3:00,07-01-16,2016,1,7,3,0.2,24.2
07-01-16 4:00,07-01-16,2016,1,7,4,,24.2
07-01-16 5:00,07-01-16,2016,1,7,5,,23.9
07-01-16 6:00,07-01-16,2016,1,7,6,,23.8
07-01-16 7:00,07-01-16,2016,1,7,7,,23.3
07-01-16 8:00,07-01-16,2016,1,7,8,,23.2
07-01-16 9:00,07-01-16,2016,1,7,9,,23.9
07-01-16 10:00,07-01-16,2016,1,7,10,,24.3
07-01-16 11:00,07-01-16,2016,1,7,11,,26.6
07-01-16 12:00,07-01-16,2016,1,7,12,,28.1
07-01-16 13:00,07-01-16,2016,1,7,13,,28.6
07-01-16 14:00,07-01-16,2016,1,7,14,,30.8
07-01-16 15:00,07-01-16,2016,1,7,15,,31.5
07-01-16 16:00,07-01-16,2016,1,7,16,,32.6
07-01-16 17:00,07-01-16,2016,1,7,17,,32
07-01-16 18:00,07-01-16,2016,1,7,18,,30.7
07-01-16 19:00,07-01-16,2016,1,7,19,,30.2
07-01-16 20:00,07-01-16,2016,1,7,20,,28.6
07-01-16 21:00,07-01-16,2016,1,7,21,,28
07-01-16 22:00,07-01-16,2016,1,7,22,,27.7
07-01-16 23:00,07-01-16,2016,1,7,23,,27.1
08-01-16 0:00,08-01-16,2016,1,8,0,,26.5
08-01-16 1:00,08-01-16,2016,1,8,1,,25.7
08-01-16 2:00,08-01-16,2016,1,8,2,,25.7
08-01-16 3:00,08-01-16,2016,1,8,3,,25.7
08-01-16 4:00,08-01-16,2016,1,8,4,,25.5
08-01-16 5:00,08-01-16,2016,1,8,5,,25.5
08-01-16 6:00,08-01-16,2016,1,8,6,,25.1
08-01-16 7:00,08-01-16,2016,1,8,7,,24.6
08-01-16 8:00,08-01-16,2016,1,8,8,,24.8
08-01-16 9:00,08-01-16,2016,1,8,9,,25.2
08-01-16 10:00,08-01-16,2016,1,8,10,,27.5
08-01-16 11:00,08-01-16,2016,1,8,11,,29.5
08-01-16 12:00,08-01-16,2016,1,8,12,,31.5
08-01-16 13:00,08-01-16,2016,1,8,13,,32
08-01-16 14:00,08-01-16,2016,1,8,14,,33.5
08-01-16 15:00,08-01-16,2016,1,8,15,,33.1
08-01-16 16:00,08-01-16,2016,1,8,16,,33.3
08-01-16 17:00,08-01-16,2016,1,8,17,,32.9
08-01-16 18:00,08-01-16,2016,1,8,18,,32.2
08-01-16 19:00,08-01-16,2016,1,8,19,,31
08-01-16 20:00,08-01-16,2016,1,8,20,,29.4
08-01-16 21:00,08-01-16,2016,1,8,21,,28.7
08-01-16 22:00,08-01-16,2016,1,8,22,,28.2
08-01-16 23:00,08-01-16,2016,1,8,23,,27.6
09-01-16 0:00,09-01-16,2016,1,9,0,,27.1
09-01-16 1:00,09-01-16,2016,1,9,1,,26.8
09-01-16 2:00,09-01-16,2016,1,9,2,,26.6
09-01-16 3:00,09-01-16,2016,1,9,3,,26.4
09-01-16 4:00,09-01-16,2016,1,9,4,,26.3
09-01-16 5:00,09-01-16,2016,1,9,5,,26.1
09-01-16 6:00,09-01-16,2016,1,9,6,,25.9
09-01-16 7:00,09-01-16,2016,1,9,7,,25.9
09-01-16 8:00,09-01-16,2016,1,9,8,,26.2
09-01-16 9:00,09-01-16,2016,1,9,9,,26.9
09-01-16 10:00,09-01-16,2016,1,9,10,,27.5
09-01-16 11:00,09-01-16,2016,1,9,11,,29
09-01-16 12:00,09-01-16,2016,1,9,12,,30.8
09-01-16 13:00,09-01-16,2016,1,9,13,,32.6
09-01-16 14:00,09-01-16,2016,1,9,14,,32.8
09-01-16 15:00,09-01-16,2016,1,9,15,,32.1
09-01-16 16:00,09-01-16,2016,1,9,16,,32.5
09-01-16 17:00,09-01-16,2016,1,9,17,,31.7
09-01-16 18:00,09-01-16,2016,1,9,18,,30.6
09-01-16 19:00,09-01-16,2016,1,9,19,,29.8
09-01-16 20:00,09-01-16,2016,1,9,20,,29.1
09-01-16 21:00,09-01-16,2016,1,9,21,,28.1
09-01-16 22:00,09-01-16,2016,1,9,22,,27.6
09-01-16 23:00,09-01-16,2016,1,9,23,,27.4
10-01-16 0:00,10-01-16,2016,1,10,0,,27.1
10-01-16 1:00,10-01-16,2016,1,10,1,,26.9
10-01-16 2:00,10-01-16,2016,1,10,2,,26.4
10-01-16 3:00,10-01-16,2016,1,10,3,,26.4
10-01-16 4:00,10-01-16,2016,1,10,4,,26.4
10-01-16 5:00,10-01-16,2016,1,10,5,,25.9
10-01-16 6:00,10-01-16,2016,1,10,6,,25.9
10-01-16 7:00,10-01-16,2016,1,10,7,,25.3
10-01-16 8:00,10-01-16,2016,1,10,8,,25.2
10-01-16 9:00,10-01-16,2016,1,10,9,,25.7
10-01-16 10:00,10-01-16,2016,1,10,10,,27.2
10-01-16 11:00,10-01-16,2016,1,10,11,,28.8
10-01-16 12:00,10-01-16,2016,1,10,12,,30.7
10-01-16 13:00,10-01-16,2016,1,10,13,,31.1
10-01-16 14:00,10-01-16,2016,1,10,14,,32.4
10-01-16 15:00,10-01-16,2016,1,10,15,,34.4
10-01-16 16:00,10-01-16,2016,1,10,16,,31.3
10-01-16 17:00,10-01-16,2016,1,10,17,,30.8
10-01-16 18:00,10-01-16,2016,1,10,18,,29.9
10-01-16 19:00,10-01-16,2016,1,10,19,,29.8
10-01-16 20:00,10-01-16,2016,1,10,20,,29.1
10-01-16 21:00,10-01-16,2016,1,10,21,,28.2
10-01-16 22:00,10-01-16,2016,1,10,22,,27.6
10-01-16 23:00,10-01-16,2016,1,10,23,,27.5
11-01-16 0:00,11-01-16,2016,1,11,0,,27
11-01-16 1:00,11-01-16,2016,1,11,1,,26.6
11-01-16 2:00,11-01-16,2016,1,11,2,,26.7
11-01-16 3:00,11-01-16,2016,1,11,3,,26.5
11-01-16 4:00,11-01-16,2016,1,11,4,,26.4
11-01-16 5:00,11-01-16,2016,1,11,5,,26.3
11-01-16 6:00,11-01-16,2016,1,11,6,,26.1
11-01-16 7:00,11-01-16,2016,1,11,7,,25.4
11-01-16 8:00,11-01-16,2016,1,11,8,,25
11-01-16 9:00,11-01-16,2016,1,11,9,,26.3
11-01-16 10:00,11-01-16,2016,1,11,10,,27.5
11-01-16 11:00,11-01-16,2016,1,11,11,,29.4
11-01-16 12:00,11-01-16,2016,1,11,12,,30.5
11-01-16 13:00,11-01-16,2016,1,11,13,,31.6
11-01-16 14:00,11-01-16,2016,1,11,14,,33.1
11-01-16 15:00,11-01-16,2016,1,11,15,,33.7
11-01-16 16:00,11-01-16,2016,1,11,16,,32.7
11-01-16 17:00,11-01-16,2016,1,11,17,,32.3
11-01-16 18:00,11-01-16,2016,1,11,18,,31.8
11-01-16 19:00,11-01-16,2016,1,11,19,,29.7
11-01-16 20:00,11-01-16,2016,1,11,20,,28.8
11-01-16 21:00,11-01-16,2016,1,11,21,,28.4
11-01-16 22:00,11-01-16,2016,1,11,22,,28
11-01-16 23:00,11-01-16,2016,1,11,23,,27.6
12-01-16 0:00,12-01-16,2016,1,12,0,,27.3
12-01-16 1:00,12-01-16,2016,1,12,1,,27.1
12-01-16 2:00,12-01-16,2016,1,12,2,,27.1
12-01-16 3:00,12-01-16,2016,1,12,3,,26.7
12-01-16 4:00,12-01-16,2016,1,12,4,,26.6
12-01-16 5:00,12-01-16,2016,1,12,5,,26.5
12-01-16 6:00,12-01-16,2016,1,12,6,,26.6
12-01-16 7:00,12-01-16,2016,1,12,7,,26.6
12-01-16 8:00,12-01-16,2016,1,12,8,,26.5
12-01-16 9:00,12-01-16,2016,1,12,9,,26.5
12-01-16 10:00,12-01-16,2016,1,12,10,,27.1
12-01-16 11:00,12-01-16,2016,1,12,11,,28
12-01-16 12:00,12-01-16,2016,1,12,12,,28.9
12-01-16 13:00,12-01-16,2016,1,12,13,,29.7
12-01-16 14:00,12-01-16,2016,1,12,14,,30
12-01-16 15:00,12-01-16,2016,1,12,15,,30.3
12-01-16 16:00,12-01-16,2016,1,12,16,,30
12-01-16 17:00,12-01-16,2016,1,12,17,,29.3
12-01-16 18:00,12-01-16,2016,1,12,18,0.4,28.4
12-01-16 19:00,12-01-16,2016,1,12,19,0.8,27.7
12-01-16 20:00,12-01-16,2016,1,12,20,,27.6
12-01-16 21:00,12-01-16,2016,1,12,21,0.2,27.6
12-01-16 22:00,12-01-16,2016,1,12,22,,27.4
12-01-16 23:00,12-01-16,2016,1,12,23,,27.2
13-01-16 0:00,13-01-16,2016,1,13,0,,27.2
13-01-16 1:00,13-01-16,2016,1,13,1,,27
13-01-16 2:00,13-01-16,2016,1,13,2,,26.9
13-01-16 3:00,13-01-16,2016,1,13,3,,25.9
13-01-16 4:00,13-01-16,2016,1,13,4,,25.5
13-01-16 5:00,13-01-16,2016,1,13,5,,24.9
13-01-16 6:00,13-01-16,2016,1,13,6,,25.1
13-01-16 7:00,13-01-16,2016,1,13,7,,24.8
13-01-16 8:00,13-01-16,2016,1,13,8,,25.4
13-01-16 9:00,13-01-16,2016,1,13,9,,26.1
13-01-16 10:00,13-01-16,2016,1,13,10,,28.9
13-01-16 11:00,13-01-16,2016,1,13,11,,29.6
13-01-16 12:00,13-01-16,2016,1,13,12,,30
13-01-16 13:00,13-01-16,2016,1,13,13,,31.8
13-01-16 14:00,13-01-16,2016,1,13,14,,32.9
13-01-16 15:00,13-01-16,2016,1,13,15,,34.4
